strongs	greek	count	brief	long
3588	ὁ	71	यह	यह, निश्चित लेख।
1722	ἐν	16	में, पर, के बीच	में, पर, बीच में।
2532	καὶ	12	और, यहां तक ​​कि, भी, अर्थात्	और, यहां तक ​​कि, भी, अर्थात्।
1473	ἐγὼ	10	मैं	मैं, पहले व्यक्ति सर्वनाम।
5547	Χριστοῦ	8	अभिषेक, मसीहा, मसीह	अभिषेक; मसीहा, मसीह।
3739	ὃ	7	जो है, जो, क्या, कि	जो है, जो, क्या, कि।
3956	πάντων	7	सभी, पूरी, के हर तरह के	सभी, पूरी, के हर तरह।
4771	ὑμῶν	6	आप	आप।
846	αὐτοῦ	6	वह, वह यह है, वे उन्हें एक ही	वह, वह यह है, वे उन्हें एक ही।
2596	κατὰ	6	से खिलाफ है, के अनुसार, नीचे दौरान के दौरान	GEN: से नीचे के खिलाफ, भर, द्वारा; एसीसी: बीच, दैनिक के खिलाफ, पर, दिन-ब-दिन, हर दिन, के अनुसार के माध्यम से।
1223	διὰ	5	के माध्यम से के कारण	(क) GEN: के माध्यम से, के कारण, की वजह से, की खातिर, क्योंकि की: भर के माध्यम से, के, (ख) एसीसी साधन के द्वारा।
2316	Θεοῦ	5	भगवान, भगवान	(क) परमेश्वर, (ख) एक देवता, आम तौर पर।
165	αἰώνων	4	एक उम्र, समय का एक चक्र	एक उम्र, (समय) के एक चक्र, वर्तमान युग की विशेष रूप से भविष्य उम्र के साथ विषम के रूप में, और अनंत को खींच उम्र की एक श्रृंखला में से एक के।
1519	εἰς	4	, में में है, के बीच, जब तक, के लिए	, में, में, पर्यत करने के लिए, पर, की दिशा के बीच में, के लिए।
2424	Ἰησοῦ	4	यीशु	यीशु; यहोशू का ग्रीक रूप; यीशु, एलीएजेर के बेटे; यीशु, कुलनाम जस्टस।
2443	ἵνα	4	आदेश में कहा कि, इतना है कि	आदेश में, यह है कि इतना है कि।
1325	δοθείσης	4	मैं प्रस्ताव दे,	मैं प्रस्तुत करते हैं, दे; मैं शब्दों में कहें, जगह है।
3778	Τούτου	3	यह, वह, वह यह	इस; वह वह वह।
